No	Country	Area, sq. km	Both sexes life expectancy (HALE)	GDP per capita, $
1	Russia	17,098,246	63.3	25,411
2	Canada	9,984,670	72.3	45,553
3	China	9,572,900	68.5	14,107
4	USA	9,525,067	69.1	55,805
5	Brazil	8,515,767	65.5	15,615
6	Australia	7,692,024	71.9	47,389
7	India	3,287,263	59.5	6,162
8	Argentina	2,780,400	67.6	22,554
9	Kazakhstan	2,724,900	63.3	24,268
10	Algeria	2,381,740	66.0	14,504
11	Denmark	43,098	71.2	45,709
12	Saudi Arabia	2,149,690	64.5	53,624
13	Mexico	1,964,375	67.4	17,534
14	Indonesia	1,904,556	62.2	11,126
15	Sudan	1,861,484	55.9	4,344
16	Libya	1,759,540	63.8	14,65
17	Iran	1,648,000	66.6	17,251
18	Mongolia	1,565,000	62.0	12,147
19	Peru	1,285,220	65.6	12,195
20	Chad	1,284,000	46.1	2,634
21	Niger	1,267,000	54.2	1,08
22	Angola	1,246,700	45.8	7,344
23	Mali	1,240,000	51.1	2,199
24	South Africa	1,219,912	54.5	13,165
25	Colombia	1,197,411	65.1	13,847
26	Ethiopia	1,127,127	56.1	1,801
27	Bolivia	1,098,580	62.2	6,465
28	Mauritania	1,030,700	55.1	4,395
29	Egypt	1,001,450	62.2	11,85
30	Tanzania	945,087	54.1	2,904
31	Nigeria	923,768	47.7	6,108
32	Venezuela	912,05	65.2	16,673
33	Namibia	825,418	57.5	11,408
34	Pakistan	803,94	57.8	5
35	Mozambique	801,59	49.6	1,186
36	Turkey	780,58	66.2	20,438
37	Chile	756,95	70.4	23,46
38	Zambia	752,614	53.6	3,868
39	Myanmar	678,5	59.2	5,469
40	France	675,417	72.6	41,181
41	Afghanistan	647,5	52.2	1,947
42	Central African Republic	622,984	45.9	630
43	South Sudan	619,745	49.9	1,992
44	Ukraine	603,628	64.1	7,519
45	Botswana	600,37	56.9	16,368
46	Madagascar	587,04	56.9	1,462
47	Kenya	580,367	55.6	3,208
48	Yemen	527,97	57.7	2,671
49	Thailand	514	66.8	16,097
50	Spain	504,781	72.4	34,819
51	Turkmenistan	488,1	59.8	16,445
52	Cameroon	475,44	50.3	3,144
53	Papua New Guinea	462,84	56.4	2,652
54	Sweden	449,964	72.0	47,922
55	Uzbekistan	447,4	62.4	6,068
56	Morocco	446,55	64.9	8,164
57	Iraq	437,072	60.0	15,474
58	Paraguay	406,75	65.2	8,708
59	Zimbabwe	390,58	52.3	2,096
60	Japan	377,835	74.9	38,054
61	Germany	357,021	71.3	46,893
62	Congo, Rep.	342	51.7	6,722
63	Finland	337,03	71.0	41,12
64	Malaysia	329,75	66.5	26,315
65	Vietnam	329,56	66.6	6,024
66	Norway	324,22	72.0	68,43
67	Poland	312,685	68.7	26,455
68	Oman	309,5	66.7	44,628
69	Italy	301,23	72.8	35,708
70	Philippines	300	61.1	7,254
71	Ecuador	283,56	67.0	11,264
72	Burkina Faso	274,2	52.6	1,724
73	New Zealand	269,19	71.6	36,172
74	Gabon	267,667	57.2	18,639
75	Guinea	245,857	51.7	1,214
76	United Kingdom	243,61	71.4	41,159
77	Uganda	241,55	54.0	2,003
78	Ghana	238,54	55.3	4,266
79	Romania	238,391	66.8	20,787
80	Guyana	214,97	58.9	7,509
81	Belarus	207,6	65.1	17,654
82	Kyrgyzstan	198,5	63.8	3,363
83	Senegal	196,19	58.3	2,451
84	Cambodia	181,035	58.9	3,487
85	Uruguay	176,22	67.9	21,507
86	Tunisia	163,61	66.7	11,428
87	Suriname	163,27	63.1	16,292
88	Bangladesh	147,57	62.3	3,607
89	Nepal	147,181	61.1	2,465
90	Tajikistan	143,1	62.1	2,749
91	Greece	131,94	71.9	26,449
92	Nicaragua	129,494	63.7	4,997
93	Eritrea	121,32	55.9	1,297
94	Malawi	118,48	51.2	1,124
95	Benin	112,62	52.5	2,113
96	Honduras	112,09	64.9	4,869
97	Liberia	111,37	52.7	873
98	Bulgaria	110,91	66.4	19,097
99	Guatemala	108,89	62.1	7,738
100	Iceland	103	72.7	46,097
101	South Korea	98,48	73.2	36,511
102	Hungary	93,03	67.4	26,222
103	Jordan	92,3	65.0	12,123
